	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
82	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12563	1	9	13		
83	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	11	33		
84	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12338	33	36	179		
85	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12228	3	3	352		
86	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11566	30	17	973		
87	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12371	8	3	204		
88	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10507	77	106	1896		
89	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408		
90	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10392	60	49	2085		
91	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12492	4	24	66		
92	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12430	3	26	127		
93	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12340	21	13	212		
94	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12404	13	52	117		
95	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213557	405	550	12036		
96	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213557	405	550	12036		
97	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_1_	91647	119	138	5260	span1_length	1.0
98	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_2_	44956	111	164	2487	span1_length	2.0
99	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_3_	32852	111	151	1788	span1_length	3.0
100	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_4_	23527	35	43	1343	span1_length	4.0
101	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_5_	10831	15	24	614	span1_length	5.0
102	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_6_	4975	6	12	281	span1_length	6.0
103	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_7_	2326	3	6	131	span1_length	7.0
104	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_8_	1323	3	6	72	span1_length	8.0
105	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_9_	408	0	1	23	span1_length	9.0
106	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_10_	170	0	0	10	span1_length	10.0
107	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_11_	170	0	0	10	span1_length	11.0
108	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_12_	102	0	1	5	span1_length	12.0
109	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_13_	102	0	2	4	span1_length	13.0
110	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_14_	34	0	0	2	span1_length	14.0
111	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_15_	17	0	0	1	span1_length	15.0
112	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_16_	34	0	0	2	span1_length	16.0
113	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_18_	17	0	0	1	span1_length	18.0
114	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_19_	50	1	1	2	span1_length	19.0
115	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_22_	16	1	1	0	span1_length	22.0
