	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
115	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	stationary	32	11	1007	21		
116	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	volition	34	38	683	316		
117	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_macro_avg_	1011	934	12386	4947		
118	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_micro_avg_	1011	934	12386	4947		
119	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_0_	363	310	4608	2207	span_distance	0.0
120	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_1_	200	165	2113	708	span_distance	1.0
121	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_2_	95	105	1201	381	span_distance	2.0
122	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_3_	66	64	955	319	span_distance	3.0
123	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_4_	71	62	725	258	span_distance	4.0
124	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_5_	39	51	599	193	span_distance	5.0
125	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_6_	28	23	367	104	span_distance	6.0
126	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_7_	33	42	367	134	span_distance	7.0
127	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_8_	19	19	279	97	span_distance	8.0
128	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_9_	22	15	229	112	span_distance	9.0
129	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_10_	6	26	227	101	span_distance	10.0
130	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_11_	21	4	114	41	span_distance	11.0
131	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_12_	5	7	98	52	span_distance	12.0
132	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_13_	7	10	94	33	span_distance	13.0
133	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_14_	2	1	37	32	span_distance	14.0
134	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_15_	7	4	36	25	span_distance	15.0
135	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_16_	1	0	36	17	span_distance	16.0
136	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_17_	1	1	45	25	span_distance	17.0
137	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_18_	4	4	37	9	span_distance	18.0
138	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_19_	2	5	56	27	span_distance	19.0
139	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_20_	2	2	22	10	span_distance	20.0
140	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_21_	4	1	24	7	span_distance	21.0
141	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_22_	4	1	22	9	span_distance	22.0
142	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_23_	0	3	15	0	span_distance	23.0
143	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_24_	4	2	45	21	span_distance	24.0
144	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_25_	1	3	8	6	span_distance	25.0
145	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_27_	4	4	15	13	span_distance	27.0
146	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	_span_distance_28_	0	0	12	6	span_distance	28.0
147	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	awareness	25	30	647	353		
148	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	change_of_location	28	14	983	30		
149	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	change_of_state	127	101	558	269		
150	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	changes_possession	40	8	967	40		
151	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	created	41	12	972	30		
152	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	destroyed	23	2	1027	3		
153	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	existed_after	81	104	203	667		
154	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	existed_before	86	75	277	617		
155	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	existed_during	21	52	94	888		
156	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	exists_as_physical	38	39	715	263		
157	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	test	instigation	49	32	656	318		
