	run	task	split	label	tn_count	fp_count	fn_count	tp_count
104	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16605	100	121	3528
105	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20313	6	10	25
106	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20283	6	4	61
107	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	20008	30	65	251
108	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19497	4	9	844
109	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19034	43	42	1235
110	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20016	3	12	323
111	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16388	168	227	3571
112	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	3	653
113	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	17070	121	65	3098
114	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20118	22	106	108
115	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20164	0	35	155
116	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19972	21	11	350
117	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20111	41	73	129
118	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	345316	702	936	19418
119	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_micro_avg_	345316	702	936	19418
